year,date,city,venue,teams,match_number,stage,toss_winner,toss_decision,first_inning_runs,first_inning_overs,first_inning_wickets,second_inning_runs,second_inning_overs,second_inning_wickets,winner,won_by_runs,won_by_wickets,player_of_match,super_over
2020,2020-10-04,,Dubai International Cricket Stadium,"{""Punjab Kings"",""Chennai Super Kings""}",18,,Punjab Kings,bat,178,20,4,181,17.4,0,Chennai Super Kings,,10,"{""SR Watson""}",f
2020,2020-10-05,,Dubai International Cricket Stadium,"{""Delhi Capitals"",""Royal Challengers Bangalore""}",19,,Royal Challengers Bangalore,field,196,20,4,137,20,9,Delhi Capitals,59,,"{""AR Patel""}",f
2020,2020-10-06,Abu Dhabi,Sheikh Zayed Stadium,"{""Mumbai Indians"",""Rajasthan Royals""}",20,,Mumbai Indians,bat,193,20,4,136,18.1,10,Mumbai Indians,57,,"{""SA Yadav""}",f
2020,2020-10-07,Abu Dhabi,Sheikh Zayed Stadium,"{""Kolkata Knight Riders"",""Chennai Super Kings""}",21,,Kolkata Knight Riders,bat,167,20,10,157,20,5,Kolkata Knight Riders,10,,"{""RA Tripathi""}",f
2020,2020-10-08,,Dubai International Cricket Stadium,"{""Sunrisers Hyderabad"",""Punjab Kings""}",22,,Sunrisers Hyderabad,bat,201,20,6,132,16.5,10,Sunrisers Hyderabad,69,,"{""JM Bairstow""}",f
2020,2020-10-09,,Sharjah Cricket Stadium,"{""Delhi Capitals"",""Rajasthan Royals""}",23,,Rajasthan Royals,field,184,20,8,138,19.4,10,Delhi Capitals,46,,"{""R Ashwin""}",f
2020,2020-10-10,Abu Dhabi,Sheikh Zayed Stadium,"{""Kolkata Knight Riders"",""Punjab Kings""}",24,,Kolkata Knight Riders,bat,164,20,6,162,20,5,Kolkata Knight Riders,2,,"{""KD Karthik""}",f
2020,2020-10-10,,Dubai International Cricket Stadium,"{""Royal Challengers Bangalore"",""Chennai Super Kings""}",25,,Royal Challengers Bangalore,bat,169,20,4,132,20,8,Royal Challengers Bangalore,37,,"{""V Kohli""}",f
2020,2020-10-11,,Dubai International Cricket Stadium,"{""Sunrisers Hyderabad"",""Rajasthan Royals""}",26,,Sunrisers Hyderabad,bat,158,20,4,163,19.5,5,Rajasthan Royals,,5,"{""R Tewatia""}",f
2020,2020-10-11,Abu Dhabi,Sheikh Zayed Stadium,"{""Delhi Capitals"",""Mumbai Indians""}",27,,Delhi Capitals,bat,162,20,4,166,19.4,5,Mumbai Indians,,5,"{""Q de Kock""}",f
2020,2020-10-12,,Sharjah Cricket Stadium,"{""Royal Challengers Bangalore"",""Kolkata Knight Riders""}",28,,Royal Challengers Bangalore,bat,194,20,2,112,20,9,Royal Challengers Bangalore,82,,"{""AB de Villiers""}",f
2020,2020-10-13,,Dubai International Cricket Stadium,"{""Chennai Super Kings"",""Sunrisers Hyderabad""}",29,,Chennai Super Kings,bat,167,20,6,147,20,8,Chennai Super Kings,20,,"{""RA Jadeja""}",f
