year,date,city,venue,teams,match_number,stage,toss_winner,toss_decision,first_inning_runs,first_inning_overs,first_inning_wickets,second_inning_runs,second_inning_overs,second_inning_wickets,winner,won_by_runs,won_by_wickets,player_of_match,super_over
2008,2008-04-18,Bangalore,M Chinnaswamy Stadium,"{""Royal Challengers Bangalore"",""Kolkata Knight Riders""}",1,,Royal Challengers Bangalore,field,222,20,3,82,15.2,10,Kolkata Knight Riders,140,,"{""BB McCullum""}",f
2008,2008-04-19,Delhi,Feroz Shah Kotla,"{""Delhi Daredevils"",""Rajasthan Royals""}",3,,Rajasthan Royals,bat,129,20,8,132,15.1,1,Delhi Daredevils,,9,"{""MF Maharoof""}",f
2008,2008-04-19,Chandigarh,"Punjab Cricket Association Stadium, Mohali","{""Punjab Kings"",""Chennai Super Kings""}",2,,Chennai Super Kings,bat,240,20,5,207,20,4,Chennai Super Kings,33,,"{""MEK Hussey""}",f
2008,2008-04-20,Kolkata,Eden Gardens,"{""Kolkata Knight Riders"",""Deccan Chargers""}",4,,Deccan Chargers,bat,110,18.4,10,112,19,5,Kolkata Knight Riders,,5,"{""DJ Hussey""}",f
2008,2008-04-20,Mumbai,Wankhede Stadium,"{""Mumbai Indians"",""Royal Challengers Bangalore""}",5,,Mumbai Indians,bat,165,20,7,166,19.5,5,Royal Challengers Bangalore,,5,"{""MV Boucher""}",f
2008,2008-04-21,Jaipur,Sawai Mansingh Stadium,"{""Rajasthan Royals"",""Punjab Kings""}",6,,Punjab Kings,bat,166,20,8,168,18.1,4,Rajasthan Royals,,6,"{""SR Watson""}",f
2008,2008-04-22,Hyderabad,"Rajiv Gandhi International Stadium, Uppal","{""Deccan Chargers"",""Delhi Daredevils""}",7,,Deccan Chargers,bat,142,20,8,143,13.1,1,Delhi Daredevils,,9,"{""V Sehwag""}",f
2008,2008-04-23,Chennai,"MruA Chidambaram Stadium, Chepauk","{""Chennai Super Kings"",""Mumbai Indians""}",8,,Mumbai Indians,field,208,20,5,202,20,7,Chennai Super Kings,6,,"{""ML Hayden""}",f
2008,2008-04-24,Hyderabad,"Rajiv Gandhi International Stadium, Uppal","{""Deccan Chargers"",""Rajasthan Royals""}",9,,Rajasthan Royals,field,214,20,5,217,19.5,7,Rajasthan Royals,,3,"{""YK Pathan""}",f
2008,2008-04-25,Chandigarh,"Punjab Cricket Association Stadium, Mohali","{""Punjab Kings"",""Mumbai Indians""}",10,,Mumbai Indians,field,182,20,10,116,20,9,Punjab Kings,66,,"{""KC Sangakkara""}",f
2008,2008-04-26,Bangalore,M Chinnaswamy Stadium,"{""Royal Challengers Bangalore"",""Rajasthan Royals""}",12,,Rajasthan Royals,field,135,20,8,138,17.1,3,Rajasthan Royals,,7,"{""SR Watson""}",f
2008,2008-04-26,Chennai,"MA Chidambaram Stadium, Chepauk","{""Chennai Super Kings"",""Kolkata Knight Riders""}",11,,Kolkata Knight Riders,bat,147,20,9,152,17,1,Chennai Super Kings,,9,"{""JDP Oram""}",f
2008,2008-04-27,Chandigarh,"Punjab Cricket Association Stadium, Mohali","{""Punjab Kings"",""Delhi Daredevils""}",13,,Delhi Daredevils,bat,158,20,8,162,19.3,6,Punjab Kings,,4,"{""SM Katich""}",f
2008,2008-04-27,Mumbai,Dr DY Patil Sports Academy,"{""Mumbai Indians"",""Deccan Chargers""}",14,,Deccan Chargers,field,154,20,7,155,12,0,Deccan Chargers,,10,"{""AC Gilchrist""}",f
2008,2008-04-28,Bangalore,M Chinnaswamy Stadium,"{""Royal Challengers Bangalore"",""Chennai Super Kings""}",15,,Chennai Super Kings,bat,178,20,5,165,19.4,10,Chennai Super Kings,13,,"{""MS Dhoni""}",f
2008,2008-04-29,Kolkata,Eden Gardens,"{""Kolkata Knight Riders"",""Mumbai Indians""}",16,,Kolkata Knight Riders,bat,137,20,8,138,18.4,3,Mumbai Indians,,7,"{""ST Jayasuriya""}",f
2008,2008-04-30,Delhi,Feroz Shah Kotla,"{""Delhi Daredevils"",""Royal Challengers Bangalore""}",17,,Royal Challengers Bangalore,field,191,20,5,181,20,5,Delhi Daredevils,10,,"{""GD McGrath""}",f
2008,2008-05-01,Hyderabad,"Rajiv Gandhi International Stadium, Uppal","{""Deccan Chargers"",""Punjab Kings""}",19,,Punjab Kings,field,164,20,8,167,19,3,Punjab Kings,,7,"{""SE Marsh""}",f
2008,2008-05-01,Jaipur,Sawai Mansingh Stadium,"{""Rajasthan Royals"",""Kolkata Knight Riders""}",18,,Rajasthan Royals,bat,196,20,7,151,19.1,10,Rajasthan Royals,45,,"{""SA Asnodkar""}",f
2008,2008-05-02,Chennai,"MA Chidambaram Stadium, Chepauk","{""Chennai Super Kings"",""Delhi Daredevils""}",20,,Chennai Super Kings,bat,169,20,6,172,19,2,Delhi Daredevils,,8,"{""V Sehwag""}",f
2008,2008-05-03,Chandigarh,"Punjab Cricket Association Stadium, Mohali","{""Punjab Kings"",""Kolkata Knight Riders""}",22,,Punjab Kings,bat,178,20,6,169,20,6,Punjab Kings,9,,"{""IK Pathan""}",f
2008,2008-05-03,Bangalore,M Chinnaswamy Stadium,"{""Royal Challengers Bangalore"",""Deccan Chargers""}",21,,Deccan Chargers,field,156,20,8,153,20,6,Royal Challengers Bangalore,3,,"{""P Kumar""}",f
2008,2008-05-04,Jaipur,Sawai Mansingh Stadium,"{""Rajasthan Royals"",""Chennai Super Kings""}",24,,Chennai Super Kings,bat,109,19,10,110,14.2,2,Rajasthan Royals,,8,"{""Sohail Tanvir""}",f
2008,2008-05-04,Mumbai,Dr DY Patil Sports Academy,"{""Mumbai Indians"",""Delhi Daredevils""}",23,,Delhi Daredevils,field,162,20,8,133,18.5,10,Mumbai Indians,29,,"{""SM Pollock""}",f
2008,2008-05-05,Bangalore,M Chinnaswamy Stadium,"{""Royal Challengers Bangalore"",""Punjab Kings""}",25,,Punjab Kings,field,126,19.2,10,127,18.3,4,Punjab Kings,,6,"{""S Sreesanth""}",f
2008,2008-05-06,Chennai,"MA Chidambaram Stadium, Chepauk","{""Chennai Super Kings"",""Deccan Chargers""}",26,,Deccan Chargers,field,144,20,7,148,18,3,Deccan Chargers,,7,"{""AC Gilchrist""}",f
2008,2008-05-07,Mumbai,Dr DY Patil Sports Academy,"{""Mumbai Indians"",""Rajasthan Royals""}",27,,Mumbai Indians,field,103,16.2,10,104,15.3,3,Mumbai Indians,,7,"{""A Nehra""}",f
2008,2008-05-08,Kolkata,Eden Gardens,"{""Kolkata Knight Riders"",""Royal Challengers Bangalore""}",29,,Kolkata Knight Riders,bat,129,16,7,124,16,4,Kolkata Knight Riders,5,,"{""SC Ganguly""}",f
2008,2008-05-08,Delhi,Feroz Shah Kotla,"{""Delhi Daredevils"",""Chennai Super Kings""}",28,,Chennai Super Kings,field,187,20,5,188,20,6,Chennai Super Kings,,4,"{""MS Dhoni""}",f
2008,2008-05-09,Jaipur,Sawai Mansingh Stadium,"{""Rajasthan Royals"",""Deccan Chargers""}",30,,Rajasthan Royals,field,140,20,8,141,16,2,Rajasthan Royals,,8,"{""YK Pathan""}",f
2008,2008-05-10,Chennai,"MA Chidambaram Stadium, Chepauk","{""Chennai Super Kings"",""Punjab Kings""}",31,,Punjab Kings,field,181,20,4,163,20,9,Chennai Super Kings,18,,"{""L Balaji""}",f
2008,2008-05-11,Hyderabad,"Rajiv Gandhi International Stadium, Uppal","{""Deccan Chargers"",""Kolkata Knight Riders""}",32,,Kolkata Knight Riders,bat,204,20,4,181,20,7,Kolkata Knight Riders,23,,"{""SC Ganguly""}",f
2008,2008-05-11,Jaipur,Sawai Mansingh Stadium,"{""Rajasthan Royals"",""Delhi Daredevils""}",33,,Rajasthan Royals,field,156,20,7,159,19.1,7,Rajasthan Royals,,3,"{""SR Watson""}",f
2008,2008-05-12,Chandigarh,"Punjab Cricket Association Stadium, Mohali","{""Punjab Kings"",""Royal Challengers Bangalore""}",34,,Royal Challengers Bangalore,bat,143,20,8,144,15.4,1,Punjab Kings,,9,"{""SE Marsh""}",f
2008,2008-05-13,Kolkata,Eden Gardens,"{""Kolkata Knight Riders"",""Delhi Daredevils""}",35,,Kolkata Knight Riders,bat,133,20,6,110,18,10,Kolkata Knight Riders,23,,"{""Shoaib Akhtar""}",f
2008,2008-05-14,Mumbai,Wankhede Stadium,"{""Mumbai Indians"",""Chennai Super Kings""}",36,,Mumbai Indians,field,156,20,6,158,13.5,1,Mumbai Indians,,9,"{""ST Jayasuriya""}",f
2008,2008-05-15,Delhi,Feroz Shah Kotla,"{""Delhi Daredevils"",""Deccan Chargers""}",37,,Deccan Chargers,field,194,20,4,182,20,9,Delhi Daredevils,12,,"{""A Mishra""}",f
2008,2008-05-16,Mumbai,Wankhede Stadium,"{""Mumbai Indians"",""Kolkata Knight Riders""}",38,,Mumbai Indians,field,67,15.2,10,68,5.4,2,Mumbai Indians,,8,"{""SM Pollock""}",f
2008,2008-05-17,Delhi,Feroz Shah Kotla,"{""Delhi Daredevils"",""Punjab Kings""}",40,,Delhi Daredevils,bat,118,11,4,94,8,3,Punjab Kings,6,,"{""DPMD Jayawardene""}",f
2008,2008-05-17,Jaipur,Sawai Mansingh Stadium,"{""Rajasthan Royals"",""Royal Challengers Bangalore""}",39,,Royal Challengers Bangalore,field,197,20,1,132,20,9,Rajasthan Royals,65,,"{""GC Smith""}",f
2008,2008-05-18,Hyderabad,"Rajiv Gandhi International Stadium, Uppal","{""Deccan Chargers"",""Mumbai Indians""}",42,,Deccan Chargers,field,178,20,7,153,20,7,Mumbai Indians,25,,"{""DJ Bravo""}",f
2008,2008-05-18,Kolkata,Eden Gardens,"{""Kolkata Knight Riders"",""Chennai Super Kings""}",41,,Kolkata Knight Riders,bat,149,20,5,55,8,0,Chennai Super Kings,3,,"{""M Ntini""}",f
2008,2008-05-19,Bangalore,M Chinnaswamy Stadium,"{""Royal Challengers Bangalore"",""Delhi Daredevils""}",43,,Delhi Daredevils,field,154,20,7,158,18.2,5,Delhi Daredevils,,5,"{""SP Goswami""}",f
2008,2008-05-20,Kolkata,Eden Gardens,"{""Kolkata Knight Riders"",""Rajasthan Royals""}",44,,Rajasthan Royals,field,147,20,8,150,16.5,4,Rajasthan Royals,,6,"{""YK Pathan""}",f
2008,2008-05-21,Chennai,"MA Chidambaram Stadium, Chepauk","{""Chennai Super Kings"",""Royal Challengers Bangalore""}",46,,Royal Challengers Bangalore,bat,126,20,8,112,20,8,Royal Challengers Bangalore,14,,"{""A Kumble""}",f
2008,2008-05-21,Mumbai,Wankhede Stadium,"{""Mumbai Indians"",""Punjab Kings""}",45,,Mumbai Indians,field,189,20,4,188,20,10,Punjab Kings,1,,"{""SE Marsh""}",f
2008,2008-05-23,Chandigarh,"Punjab Cricket Association Stadium, Mohali","{""Punjab Kings"",""Deccan Chargers""}",48,,Punjab Kings,field,175,20,4,178,19.3,4,Punjab Kings,,6,"{""SE Marsh""}",f
2008,2008-05-24,Delhi,Feroz Shah Kotla,"{""Delhi Daredevils"",""Mumbai Indians""}",50,,Delhi Daredevils,field,176,20,8,179,19.5,5,Delhi Daredevils,,5,"{""KD Karthik""}",f
2008,2008-05-24,Chennai,"MA Chidambaram Stadium, Chepauk","{""Chennai Super Kings"",""Rajasthan Royals""}",49,,Rajasthan Royals,bat,211,20,5,201,20,7,Rajasthan Royals,10,,"{""JA Morkel""}",f
2008,2008-05-25,Kolkata,Eden Gardens,"{""Kolkata Knight Riders"",""Punjab Kings""}",52,,Punjab Kings,bat,174,20,6,175,19.4,7,Kolkata Knight Riders,,3,"{""Umar Gul""}",f
2008,2008-05-25,Hyderabad,"Rajiv Gandhi International Stadium, Uppal","{""Deccan Chargers"",""Royal Challengers Bangalore""}",51,,Deccan Chargers,bat,165,20,10,171,19,5,Royal Challengers Bangalore,,5,"{""R Vinay Kumar""}",f
2008,2008-05-26,Jaipur,Sawai Mansingh Stadium,"{""Rajasthan Royals"",""Mumbai Indians""}",53,,Rajasthan Royals,field,145,20,7,146,20,5,Rajasthan Royals,,5,"{""Sohail Tanvir""}",f
2008,2008-05-27,Hyderabad,"Rajiv Gandhi International Stadium, Uppal","{""Deccan Chargers"",""Chennai Super Kings""}",54,,Deccan Chargers,bat,147,20,8,148,19.2,3,Chennai Super Kings,,7,"{""SK Raina""}",f
2008,2008-05-28,Chandigarh,"Punjab Cricket Association Stadium, Mohali","{""Punjab Kings"",""Rajasthan Royals""}",56,,Rajasthan Royals,field,221,20,3,180,20,7,Punjab Kings,41,,"{""SE Marsh""}",f
2008,2008-05-28,Bangalore,M Chinnaswamy Stadium,"{""Royal Challengers Bangalore"",""Mumbai Indians""}",55,,Mumbai Indians,field,122,18,9,126,16,1,Mumbai Indians,,9,"{""CRD Fernando""}",f
2008,2008-05-30,Mumbai,Wankhede Stadium,"{""Delhi Daredevils"",""Rajasthan Royals""}",,Semi Final,Delhi Daredevils,field,192,20,9,87,16.1,10,Rajasthan Royals,105,,"{""SR Watson""}",f
2008,2008-05-31,Mumbai,Wankhede Stadium,"{""Chennai Super Kings"",""Punjab Kings""}",,Semi Final,Punjab Kings,bat,112,20,8,116,14.5,1,Chennai Super Kings,,9,"{""M Ntini""}",f
2008,2008-06-01,Mumbai,Dr DY Patil Sports Academy,"{""Chennai Super Kings"",""Rajasthan Royals""}",,Final,Rajasthan Royals,field,163,20,5,164,20,7,Rajasthan Royals,,3,"{""YK Pathan""}",f
2009,2009-04-18,Cape Town,Newlands,"{""Royal Challengers Bangalore"",""Rajasthan Royals""}",2,,Royal Challengers Bangalore,bat,133,20,8,58,15.1,10,Royal Challengers Bangalore,75,,"{""R Dravid""}",f
2009,2009-04-18,Cape Town,Newlands,"{""Chennai Super Kings"",""Mumbai Indians""}",1,,Chennai Super Kings,field,165,20,7,146,20,7,Mumbai Indians,19,,"{""SR Tendulkar""}",f
2009,2009-04-19,Cape Town,Newlands,"{""Deccan Chargers"",""Kolkata Knight Riders""}",4,,Kolkata Knight Riders,bat,101,19.4,10,104,13.1,2,Deccan Chargers,,8,"{""RP Singh""}",f
2009,2009-04-19,Cape Town,Newlands,"{""Delhi Daredevils"",""Punjab Kings""}",3,,Delhi Daredevils,field,104,12,7,58,5,0,Delhi Daredevils,,10,"{""DL Vettori""}",f
2009,2009-04-20,Port Elizabeth,St George's Park,"{""Royal Challengers Bangalore"",""Chennai Super Kings""}",5,,Chennai Super Kings,bat,179,20,5,87,15.2,10,Chennai Super Kings,92,,"{""M Muralitharan""}",f
2009,2009-04-21,Durban,Kingsmead,"{""Punjab Kings"",""Kolkata Knight Riders""}",6,,Kolkata Knight Riders,field,158,20,6,79,9.2,1,Kolkata Knight Riders,11,,"{""CH Gayle""}",f
2009,2009-04-22,Cape Town,Newlands,"{""Royal Challengers Bangalore"",""Deccan Chargers""}",8,,Deccan Chargers,bat,184,20,6,160,20,8,Deccan Chargers,24,,"{""AC Gilchrist""}",f
2009,2009-04-23,Durban,Kingsmead,"{""Chennai Super Kings"",""Delhi Daredevils""}",9,,Delhi Daredevils,bat,189,20,5,180,20,9,Delhi Daredevils,9,,"{""AB de Villiers""}",f
2009,2009-04-23,Cape Town,Newlands,"{""Kolkata Knight Riders"",""Rajasthan Royals""}",10,,Kolkata Knight Riders,field,150,20,6,150,20,8,Rajasthan Royals,,,"{""YK Pathan""}",t
2009,2009-04-24,Durban,Kingsmead,"{""Royal Challengers Bangalore"",""Punjab Kings""}",11,,Royal Challengers Bangalore,bat,168,20,9,173,19,3,Punjab Kings,,7,"{""RS Bopara""}",f
2009,2009-04-25,Durban,Kingsmead,"{""Deccan Chargers"",""Mumbai Indians""}",12,,Deccan Chargers,bat,168,20,9,156,20,7,Deccan Chargers,12,,"{""PP Ojha""}",f
2009,2009-04-26,Cape Town,Newlands,"{""Punjab Kings"",""Rajasthan Royals""}",15,,Punjab Kings,bat,139,20,6,112,20,7,Punjab Kings,27,,"{""KC Sangakkara""}",f
2009,2009-04-26,Port Elizabeth,St George's Park,"{""Royal Challengers Bangalore"",""Delhi Daredevils""}",14,,Royal Challengers Bangalore,bat,149,20,7,150,19.2,4,Delhi Daredevils,,6,"{""TM Dilshan""}",f
2009,2009-04-27,Durban,Kingsmead,"{""Chennai Super Kings"",""Deccan Chargers""}",16,,Deccan Chargers,field,165,20,6,169,19.3,4,Deccan Chargers,,6,"{""HH Gibbs""}",f
2009,2009-04-27,Port Elizabeth,St George's Park,"{""Kolkata Knight Riders"",""Mumbai Indians""}",17,,Mumbai Indians,bat,187,20,6,95,15.2,9,Mumbai Indians,92,,"{""SR Tendulkar""}",f
2009,2009-04-28,Centurion,SuperSport Park,"{""Delhi Daredevils"",""Rajasthan Royals""}",18,,Delhi Daredevils,bat,143,20,7,147,18.3,5,Rajasthan Royals,,5,"{""YK Pathan""}",f
2009,2009-04-29,Durban,Kingsmead,"{""Royal Challengers Bangalore"",""Kolkata Knight Riders""}",19,,Kolkata Knight Riders,bat,139,20,6,143,19.5,5,Royal Challengers Bangalore,,5,"{""MV Boucher""}",f
2009,2009-04-29,Durban,Kingsmead,"{""Punjab Kings"",""Mumbai Indians""}",20,,Punjab Kings,bat,119,20,8,116,20,7,Punjab Kings,3,,"{""KC Sangakkara""}",f
2009,2009-04-30,Centurion,SuperSport Park,"{""Deccan Chargers"",""Delhi Daredevils""}",21,,Delhi Daredevils,field,148,20,9,150,19,4,Delhi Daredevils,,6,"{""DP Nannes""}",f
2009,2009-04-30,Centurion,SuperSport Park,"{""Chennai Super Kings"",""Rajasthan Royals""}",22,,Rajasthan Royals,field,164,20,5,126,19.3,9,Chennai Super Kings,38,,"{""SK Raina""}",f
2009,2009-05-01,East London,Buffalo Park,"{""Kolkata Knight Riders"",""Mumbai Indians""}",23,,Mumbai Indians,bat,148,20,6,139,20,6,Mumbai Indians,9,,"{""JP Duminy""}",f
2009,2009-05-01,Durban,Kingsmead,"{""Royal Challengers Bangalore"",""Punjab Kings""}",24,,Royal Challengers Bangalore,bat,145,20,9,137,20,7,Royal Challengers Bangalore,8,,"{""Yuvraj Singh""}",f
2009,2009-05-02,Johannesburg,New Wanderers Stadium,"{""Chennai Super Kings"",""Delhi Daredevils""}",26,,Delhi Daredevils,field,163,20,10,145,20,8,Chennai Super Kings,18,,"{""SB Jakati""}",f
2009,2009-05-02,Port Elizabeth,St George's Park,"{""Deccan Chargers"",""Rajasthan Royals""}",25,,Deccan Chargers,bat,141,20,5,142,19.4,7,Rajasthan Royals,,3,"{""YK Pathan""}",f
2009,2009-05-03,Port Elizabeth,St George's Park,"{""Punjab Kings"",""Kolkata Knight Riders""}",27,,Kolkata Knight Riders,bat,153,20,3,154,20,4,Punjab Kings,,6,"{""DPMD Jayawardene""}",f
2009,2009-05-03,Johannesburg,New Wanderers Stadium,"{""Royal Challengers Bangalore"",""Mumbai Indians""}",28,,Mumbai Indians,bat,149,20,4,150,18.1,1,Royal Challengers Bangalore,,9,"{""JH Kallis""}",f
2009,2009-05-04,East London,Buffalo Park,"{""Chennai Super Kings"",""Deccan Chargers""}",29,,Chennai Super Kings,bat,178,20,3,100,14.4,10,Chennai Super Kings,78,,"{""MS Dhoni""}",f
2009,2009-05-05,Durban,Kingsmead,"{""Delhi Daredevils"",""Kolkata Knight Riders""}",31,,Kolkata Knight Riders,bat,154,20,3,157,19,1,Delhi Daredevils,,9,"{""G Gambhir""}",f
2009,2009-05-05,Durban,Kingsmead,"{""Punjab Kings"",""Rajasthan Royals""}",30,,Punjab Kings,field,211,20,4,133,20,8,Rajasthan Royals,78,,"{""GC Smith""}",f
2009,2009-05-06,Centurion,SuperSport Park,"{""Deccan Chargers"",""Mumbai Indians""}",32,,Deccan Chargers,bat,145,20,6,126,20,8,Deccan Chargers,19,,"{""RG Sharma""}",f
2009,2009-05-07,Centurion,SuperSport Park,"{""Chennai Super Kings"",""Punjab Kings""}",34,,Chennai Super Kings,bat,185,18,3,174,18,3,Chennai Super Kings,12,,"{""ML Hayden""}",f
2009,2009-05-07,Centurion,SuperSport Park,"{""Royal Challengers Bangalore"",""Rajasthan Royals""}",33,,Rajasthan Royals,field,105,20,10,107,15,3,Rajasthan Royals,,7,"{""A Singh""}",f
2009,2009-05-08,East London,Buffalo Park,"{""Delhi Daredevils"",""Mumbai Indians""}",35,,Mumbai Indians,bat,116,20,10,118,18.5,3,Delhi Daredevils,,7,"{""A Nehra""}",f
2009,2009-05-09,Kimberley,De Beers Diamond Oval,"{""Deccan Chargers"",""Punjab Kings""}",36,,Punjab Kings,field,168,20,5,169,19.5,7,Punjab Kings,,3,"{""DPMD Jayawardene""}",f
2009,2009-05-09,Kimberley,De Beers Diamond Oval,"{""Chennai Super Kings"",""Rajasthan Royals""}",37,,Rajasthan Royals,bat,140,20,7,141,18.2,3,Chennai Super Kings,,7,"{""S Badrinath""}",f
2009,2009-05-10,Port Elizabeth,St George's Park,"{""Royal Challengers Bangalore"",""Mumbai Indians""}",38,,Mumbai Indians,bat,157,20,2,141,20,7,Mumbai Indians,16,,"{""JP Duminy""}",f
2009,2009-05-10,Johannesburg,New Wanderers Stadium,"{""Delhi Daredevils"",""Kolkata Knight Riders""}",39,,Delhi Daredevils,field,123,20,8,125,17.1,3,Delhi Daredevils,,7,"{""A Mishra""}",f
2009,2009-05-11,Kimberley,De Beers Diamond Oval,"{""Deccan Chargers"",""Rajasthan Royals""}",40,,Deccan Chargers,bat,166,20,7,113,19.3,10,Deccan Chargers,53,,"{""DR Smith""}",f
2009,2009-05-12,Centurion,SuperSport Park,"{""Royal Challengers Bangalore"",""Kolkata Knight Riders""}",41,,Royal Challengers Bangalore,field,173,20,4,176,19.2,4,Royal Challengers Bangalore,,6,"{""LRPL Taylor""}",f
2009,2009-05-12,Centurion,SuperSport Park,"{""Punjab Kings"",""Mumbai Indians""}",42,,Punjab Kings,bat,119,20,9,122,16.2,2,Mumbai Indians,,8,"{""Harbhajan Singh""}",f
2009,2009-05-13,Durban,Kingsmead,"{""Deccan Chargers"",""Delhi Daredevils""}",43,,Deccan Chargers,field,173,20,7,161,19.4,10,Delhi Daredevils,12,,"{""R Bhatia""}",f
2009,2009-05-14,Durban,Kingsmead,"{""Mumbai Indians"",""Rajasthan Royals""}",45,,Rajasthan Royals,bat,145,20,7,143,19.5,10,Rajasthan Royals,2,,"{""SK Warne""}",f
2009,2009-05-14,Durban,Kingsmead,"{""Royal Challengers Bangalore"",""Chennai Super Kings""}",44,,Chennai Super Kings,bat,129,19.4,10,132,19.4,8,Royal Challengers Bangalore,,2,"{""LRPL Taylor""}",f
2009,2009-05-15,Bloemfontein,OUTsurance Oval,"{""Delhi Daredevils"",""Punjab Kings""}",46,,Punjab Kings,field,120,20,9,123,19.1,4,Punjab Kings,,6,"{""B Lee""}",f
2009,2009-05-16,Johannesburg,New Wanderers Stadium,"{""Deccan Chargers"",""Kolkata Knight Riders""}",48,,Deccan Chargers,field,160,20,5,166,20,4,Deccan Chargers,,6,"{""RG Sharma""}",f
2009,2009-05-16,Port Elizabeth,St George's Park,"{""Chennai Super Kings"",""Mumbai Indians""}",47,,Mumbai Indians,bat,147,20,5,151,19.2,3,Chennai Super Kings,,7,"{""ML Hayden""}",f
2009,2009-05-17,Johannesburg,New Wanderers Stadium,"{""Deccan Chargers"",""Punjab Kings""}",49,,Deccan Chargers,field,134,20,7,133,20,8,Punjab Kings,1,,"{""Yuvraj Singh""}",f
2009,2009-05-17,Bloemfontein,OUTsurance Oval,"{""Delhi Daredevils"",""Rajasthan Royals""}",50,,Delhi Daredevils,bat,150,20,3,136,20,9,Delhi Daredevils,14,,"{""AB de Villiers""}",f
2009,2009-05-18,Centurion,SuperSport Park,"{""Chennai Super Kings"",""Kolkata Knight Riders""}",51,,Chennai Super Kings,bat,188,20,3,189,20,3,Kolkata Knight Riders,,7,"{""BJ Hodge""}",f
2009,2009-05-19,Johannesburg,New Wanderers Stadium,"{""Royal Challengers Bangalore"",""Delhi Daredevils""}",52,,Delhi Daredevils,bat,134,20,7,135,19,3,Royal Challengers Bangalore,,7,"{""JH Kallis""}",f
2009,2009-05-20,Durban,Kingsmead,"{""Chennai Super Kings"",""Punjab Kings""}",54,,Chennai Super Kings,bat,116,20,9,92,20,8,Chennai Super Kings,24,,"{""M Muralitharan""}",f
2009,2009-05-20,Durban,Kingsmead,"{""Kolkata Knight Riders"",""Rajasthan Royals""}",53,,Kolkata Knight Riders,field,101,20,9,102,19.3,6,Kolkata Knight Riders,,4,"{""LR Shukla""}",f
2009,2009-05-21,Centurion,SuperSport Park,"{""Royal Challengers Bangalore"",""Deccan Chargers""}",56,,Royal Challengers Bangalore,bat,170,20,4,158,20,6,Royal Challengers Bangalore,12,,"{""MK Pandey""}",f
2009,2009-05-21,Centurion,SuperSport Park,"{""Delhi Daredevils"",""Mumbai Indians""}",55,,Delhi Daredevils,field,165,20,8,166,17.3,6,Delhi Daredevils,,4,"{""V Sehwag""}",f
2009,2009-05-22,Centurion,SuperSport Park,"{""Delhi Daredevils"",""Deccan Chargers""}",,Semi Final,Deccan Chargers,field,153,20,8,154,17.4,4,Deccan Chargers,,6,"{""AC Gilchrist""}",f
2009,2009-05-23,Johannesburg,New Wanderers Stadium,"{""Royal Challengers Bangalore"",""Chennai Super Kings""}",,Semi Final,Royal Challengers Bangalore,field,146,20,5,149,19,4,Royal Challengers Bangalore,,6,"{""MK Pandey""}",f
2009,2009-05-24,Johannesburg,New Wanderers Stadium,"{""Royal Challengers Bangalore"",""Deccan Chargers""}",,Final,Royal Challengers Bangalore,field,143,20,6,137,20,9,Deccan Chargers,6,,"{""A Kumble""}",f
2010,2010-03-12,Mumbai,Dr DY Patil Sports Academy,"{""Deccan Chargers"",""Kolkata Knight Riders""}",1,,Deccan Chargers,field,161,20,4,150,20,7,Kolkata Knight Riders,11,,"{""AD Mathews""}",f
2010,2010-03-13,Chandigarh,"Punjab Cricket Association Stadium, Mohali","{""Punjab Kings"",""Delhi Daredevils""}",3,,Delhi Daredevils,field,142,20,9,146,19.5,5,Delhi Daredevils,,5,"{""G Gambhir""}",f
2010,2010-03-13,Mumbai,Brabourne Stadium,"{""Mumbai Indians"",""Rajasthan Royals""}",2,,Mumbai Indians,bat,212,20,7,208,20,7,Mumbai Indians,4,,"{""YK Pathan""}",f
2010,2010-03-14,Kolkata,Eden Gardens,"{""Kolkata Knight Riders"",""Royal Challengers Bangalore""}",4,,Kolkata Knight Riders,field,135,20,7,136,19.2,3,Kolkata Knight Riders,,7,"{""MK Tiwary""}",f
2010,2010-03-14,Chennai,"MA Chidambaram Stadium, Chepauk","{""Chennai Super Kings"",""Deccan Chargers""}",5,,Deccan Chargers,bat,190,20,4,159,20,9,Deccan Chargers,31,,"{""WPUJC Vaas""}",f
2010,2010-03-15,Ahmedabad,"Sardar Patel Stadium, Motera","{""Rajasthan Royals"",""Delhi Daredevils""}",6,,Delhi Daredevils,field,141,20,6,142,17.1,4,Delhi Daredevils,,6,"{""V Sehwag""}",f
2010,2010-03-16,Kolkata,Eden Gardens,"{""Kolkata Knight Riders"",""Chennai Super Kings""}",8,,Chennai Super Kings,bat,164,20,3,109,19.2,10,Chennai Super Kings,55,,"{""MS Dhoni""}",f
2010,2010-03-16,Bangalore,M Chinnaswamy Stadium,"{""Royal Challengers Bangalore"",""Punjab Kings""}",7,,Punjab Kings,bat,203,20,3,204,19,2,Royal Challengers Bangalore,,8,"{""JH Kallis""}",f
2010,2010-03-17,Delhi,Feroz Shah Kotla,"{""Delhi Daredevils"",""Mumbai Indians""}",9,,Delhi Daredevils,field,218,20,7,120,16.3,9,Mumbai Indians,98,,"{""SR Tendulkar""}",f
2010,2010-03-18,Bangalore,M Chinnaswamy Stadium,"{""Royal Challengers Bangalore"",""Rajasthan Royals""}",10,,Royal Challengers Bangalore,field,92,19.5,10,93,11,0,Royal Challengers Bangalore,,10,"{""JH Kallis""}",f
